timestamp,raw_marlin
"2026-05-18T10:26:31.600Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:31.602Z","ok"
"2026-05-18T10:26:37.145Z","ok T:245.00 /245.00 B:85.00 /85.00 @:108 B@:48"
"2026-05-18T10:26:37.148Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:37.150Z","ok"
"2026-05-18T10:26:42.572Z","ok T:245.55 /245.00 B:84.99 /85.00 @:94 B@:50"
"2026-05-18T10:26:42.574Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:42.576Z","ok"
"2026-05-18T10:26:48.075Z","ok T:245.00 /245.00 B:85.03 /85.00 @:106 B@:43"
"2026-05-18T10:26:48.076Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:48.081Z","ok"
"2026-05-18T10:26:53.568Z","ok T:243.75 /245.00 B:85.01 /85.00 @:127 B@:47"
"2026-05-18T10:26:53.569Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:53.571Z","ok"
"2026-05-18T10:26:59.264Z","ok T:243.83 /245.00 B:85.01 /85.00 @:127 B@:47"
"2026-05-18T10:26:59.265Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:26:59.270Z","ok"
"2026-05-18T10:27:04.843Z","ok T:245.63 /245.00 B:85.02 /85.00 @:88 B@:45"
"2026-05-18T10:27:04.845Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:04.849Z","ok"
"2026-05-18T10:27:10.490Z","ok T:245.00 /245.00 B:84.98 /85.00 @:104 B@:53"
"2026-05-18T10:27:10.569Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:27:10.583Z","ok"
